Total JSON: 103
Arabian and Middle Eastern Tales\prebuilt_arabian_middle_eastern_tales.json | Common | Arabian and Middle Eastern Tales | prebuilt_characters | True | 3
Gods, Titans, Heroes and Monsters\Christian Angels and Demons\prebuilt_christian_angels_demons.json | Common | Christian Angels Demons | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Family Trees\prebuilt_family_trees.json | Common | Family Trees | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Greek Gods\prebuilt_greek_gods.json | Common | Greek Gods | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Hindu Gods\prebuilt_hindu_gods.json | Common | Hindu Gods | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Norse Gods\prebuilt_norse_gods.json | Common | Norse Gods | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Other Mythology\prebuilt_other_mythology.json | Common | Other Mythology | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\Roman Gods\prebuilt_roman_gods.json | Common | Roman Gods | prebuilt_gods_titans_heroes_monsters | True | 4
Gods, Titans, Heroes and Monsters\prebuilt_gods_titans_heroes_monsters.json | Common | Gods, Titans, Heroes and Monsters | prebuilt_characters | True | 3
Heroes and Monsters (Greek and Roman)\prebuilt_heroes_monsters_greek_roman.json | Common | Heroes and Monsters (Greek and Roman) | prebuilt_characters | True | 4
Horror Icons\prebuilt_horror_icons.json | Common | Horror Icons | prebuilt_characters | True | 1
Legendary Heroes and Folk Heroes\prebuilt_legendary_heroes_folk_heroes.json | Common | Legendary Heroes and Folk Heroes | prebuilt_characters | True | 3
Literary and Gothic Characters\prebuilt_literary_gothic_characters.json | Common | Literary and Gothic Characters | prebuilt_characters | True | 3
Marvel\prebuilt_marvel.json | Subject Vocab | Marvel | prebuilt_characters | True | 3
Misc\prebuilt_misc.json | Subject Vocab | Misc | prebuilt_characters | True | 3
Star Trek\Starships\prebuilt_starships.json | Subject Vocab | Starships | prebuilt_star_trek | True | 4
Star Trek\prebuilt_star_trek.json | Common | Star Trek | prebuilt_characters | True | 3
Star Wars\prebuilt_star_wars.json | Subject Vocab | Star Wars | prebuilt_characters | True | 3
The Lord Of The Rings\prebuilt_the_lord_of_the_rings.json | Common | The Lord Of The Rings | prebuilt_characters | True | 3
The Muppets\prebuilt_the_muppets.json | Subject Vocab | The Muppets | prebuilt_characters | True | 3
X-Men\prebuilt_x_men.json | Subject Vocab | X-Men | prebuilt_characters | True | 3
prebuilt_characters.json | Common | Characters | prebuilt_people | True | 2
